date,ticker,event,yes_team,winner,close_bid,close_ask,close_mid,volume,open_interest,result,settled_ts
2026-04-10,KXMLBGAME-26APR102015BOSSTL-STL,KXMLBGAME-26APR102015BOSSTL,St. Louis,St. Louis,43,44,0.435,8399.00,35644.00,yes,1775863818
2026-04-10,KXMLBGAME-26APR101940WSHMIL-WSH,KXMLBGAME-26APR101940WSHMIL,Washington,Washington,35,36,0.355,1626.00,29690.00,yes,1775862615
2026-04-10,KXMLBGAME-26APR101940CWSKC-KC,KXMLBGAME-26APR101940CWSKC,Kansas City,Kansas City,62,63,0.625,8446.00,40929.00,yes,1775859311
2026-04-10,KXMLBGAME-26APR101910NYYTB-TB,KXMLBGAME-26APR101910NYYTB,Tampa Bay,Tampa Bay,49,50,0.495,46200.00,111761.00,yes,1775859903
2026-04-10,KXMLBGAME-26APR101915CLEATL-CLE,KXMLBGAME-26APR101915CLEATL,Cleveland,Atlanta,44,45,0.445,5771.00,59334.00,no,1775860272
2026-04-10,KXMLBGAME-26APR101910ATHNYM-NYM,KXMLBGAME-26APR101910ATHNYM,New York M,A's,57,58,0.575,28945.00,305033.00,no,1775859635
2026-04-10,KXMLBGAME-26APR101915SFBAL-SF,KXMLBGAME-26APR101915SFBAL,San Francisco,San Francisco,46,47,0.465,9791.00,39418.00,yes,1775860491
2026-04-10,KXMLBGAME-26APR101907MINTOR-TOR,KXMLBGAME-26APR101907MINTOR,Toronto,Toronto,56,57,0.565,25104.00,56955.00,yes,1775860823
2026-04-10,KXMLBGAME-26APR101840MIADET-MIA,KXMLBGAME-26APR101840MIADET,Miami,Detroit,43,44,0.435,29329.00,123543.00,no,1775856718
2026-04-10,KXMLBGAME-26APR101840AZPHI-PHI,KXMLBGAME-26APR101840AZPHI,Philadelphia,Arizona,61,62,0.615,4980.00,35068.00,no,1775858104
2026-04-10,KXMLBGAME-26APR101845LAACIN-LAA,KXMLBGAME-26APR101845LAACIN,Los Angeles A,Los Angeles A,38,39,0.385,13423.00,448769.00,yes,1775858433
